PLAYER,TEAM
F Artemi Panarin 3,BOT
F Travis Konecny 3,BOT
F Kevin Fiala 3,BOT
F Dylan Larkin 3,BOT
F Tim Stutzle C,BOT
F Drake Batherson 3,BOT
F Nick Schmaltz 3,BOT
F Jared McCann 3,BOT
F Connor McMichael C,BOT
F Dylan Strome 2,BOT
F Dylan Cozens C,BOT
F Vasily Podkolzin C,BOT
D Miro Heiskanen 3,BOT
D Noah Dobson 2,BOT
D Filip Hronek 3,BOT
D Drew Doughty 3,BOT
D Mattias Ekholm 3,BOT
D Travis Sanheim 3,BOT
G Scott Wedgewood 3,BOT
G Filip Gustavsson 2,BOT
F Kirill Kaprizov 2,LPT
F Kyle Connor 3,LPT
F Mark Scheifele 3,LPT
F Sidney Crosby 3,LPT
F Filip Forsberg 3,LPT
F Alex Tuch 3,LPT
F Sam Bennett 3,LPT
F Macklin Celebrini A,LPT
F Dylan Guenther A,LPT
F Morgan Geekie 3,LPT
F Matt Coronato A,LPT
F Cole Sillinger B,LPT
D Roman Josi 3,LPT
D Mikhail Sergachev 3,LPT
D MacKenzie Weegar 3,LPT
D Brock Faber C,LPT
D Mattias Samuelsson 3,LPT
D Ivan Provorov 3,LPT
G Mackenzie Blackwood 3,LPT
G Dustin Wolf C,LPT
F Leon Draisaitl 3,GVR
F Connor McDavid 3,GVR
F Jason Robertson 2,GVR
F Matt Boldy 2,GVR
F Nikolaj Ehlers 3,GVR
F Wyatt Johnston A,GVR
F Trevor Zegras 3,GVR
F Joel Farabee 3,GVR
F Andre Burakovsky 3,GVR
F Kasperi Kapanen 10,GVR
F Dawson Mercer C,GVR
F Pavel Dorofeyev 3,GVR
D Erik Karlsson 3,GVR
D Charlie McAvoy 3,GVR
D Moritz Seider C,GVR
D Rasmus Andersson 3,GVR
D Bowen Byram 2,GVR
D Samuel Girard 3,GVR
G Frederik Andersen 3,GVR
G Spencer Knight C,GVR
F Jack Eichel 2,SRL
F Brandon Hagel 3,SRL
F Mika Zibanejad 3,SRL
F Chris Kreider 3,SRL
F Martin Necas 2,SRL
F Jackson Blake 3,SRL
F JJ Peterka B,SRL
F Tom Wilson 3,SRL
F Jordan Eberle 3,SRL
F Logan Stankoven B,SRL
F Chandler Stephenson 3,SRL
F Yanni Gourde 3,SRL
D Quinn Hughes 2,SRL
D Jake Sanderson C,SRL
D Justin Faulk 3,SRL
D Alexander Nikishin B,SRL
D Oliver Ekman-Larsson 3,SRL
D Dmitry Orlov 3,SRL
G Adin Hill 3,SRL
G Tristan Jarry 3,SRL
F Nikita Kucherov 3,ZSK
F Roope Hintz 3,ZSK
F Adrian Kempe 3,ZSK
F Seth Jarvis 2,ZSK
F Nico Hischier 2,ZSK
F Mathew Barzal 3,ZSK
F Vincent Trocheck 3,ZSK
F Brock Nelson 3,ZSK
F Sean Monahan 3,ZSK
F Victor Olofsson 3,ZSK
F Gabriel Vilardi 2,ZSK
F Ryan Donato 3,ZSK
D Vince Dunn 3,ZSK
D Shayne Gostisbehere 3,ZSK
D Dougie Hamilton 3,ZSK
D Brandon Montour 3,ZSK
D Jackson LaCombe 3,ZSK
D Lane Hutson A,ZSK
G Jake Oettinger 2,ZSK
G Lukas Dostal 2,ZSK
F Nathan MacKinnon 3,MAC
F Mikko Rantanen 3,MAC
F J.T. Miller 3,MAC
F Alex DeBrincat 3,MAC
F Alex Ovechkin 3,MAC
F Tomas Hertl 3,MAC
F Patrick Kane 3,MAC
F Jamie Benn 3,MAC
F Tyler Toffoli 3,MAC
F Andrei Kuzmenko 3,MAC
F Teuvo Teravainen 3,MAC
F Claude Giroux 3,MAC
D Morgan Rielly 3,MAC
D John Carlson 3,MAC
D Thomas Harley C,MAC
D Brent Burns 3,MAC
D Mike Matheson 3,MAC
D Jeff Petry 3,MAC
G Andrei Vasilevskiy 3,MAC
G Logan Thompson 3,MAC
