Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status,Visitor Goalie,Home Goalie,O/U,Over,Under,Away ML,Home ML,Home PL Spread,PL Away,PL Home
2025-10-07,3:00 PM,5:00 PM,Chicago Blackhawks,2,Florida Panthers,3,Regulation,Spencer Knight,Sergei Bobrovsky,5.5,-120,100,230,-280,-1.5,-115,-105
2025-10-07,6:00 PM,8:00 PM,Pittsburgh Penguins,3,New York Rangers,0,Regulation,Arturs Silovs,Igor Shesterkin,6,-115,-105,190,-230,-1.5,-130,110
2025-10-07,8:30 PM,10:30 PM,Colorado Avalanche,4,Los Angeles Kings,1,Regulation,Scott Wedgewood,Darcy Kuemper,6,-105,-115,-115,-105,1.5,210,-260
2025-10-08,5:00 PM,7:00 PM,Montreal Canadiens,2,Toronto Maple Leafs,5,Regulation,Samuel Montembeault,Anthony Stolarz,6,-110,-110,145,-170,-1.5,-170,145
2025-10-08,5:30 PM,7:30 PM,Boston Bruins,3,Washington Capitals,1,Regulation,Jeremy Swayman,Logan Thompson,5.5,-115,-105,150,-180,-1.5,-170,145
2025-10-08,8:00 PM,10:00 PM,Calgary Flames,4,Edmonton Oilers,3,SO,Dustin Wolf,Stuart Skinner,6,-120,100,195,-240,-1.5,-130,110
2025-10-08,8:00 PM,10:00 PM,Los Angeles Kings,6,Vegas Golden Knights,5,SO,Anton Forsberg,Adin Hill,6,100,-120,170,-205,-1.5,-140,120
2025-10-09,5:00 PM,7:00 PM,Chicago Blackhawks,3,Boston Bruins,4,OT,Arvid Soderblom,Joonas Korpisalo,6,100,-120,140,-165,-1.5,-190,160
2025-10-09,5:00 PM,7:00 PM,New York Rangers,4,Buffalo Sabres,0,Regulation,Igor Shesterkin,Alex Lyon,6,-120,100,-115,-105,1.5,210,-260
2025-10-09,5:00 PM,7:00 PM,Montreal Canadiens,5,Detroit Red Wings,1,Regulation,Jakub Dobes,John Gibson,6,-120,100,120,-140,-1.5,-210,175
2025-10-09,5:00 PM,7:00 PM,Ottawa Senators,5,Tampa Bay Lightning,4,Regulation,Linus Ullmark,Andrei Vasilevskiy,6,-115,-105,150,-180,-1.5,-165,140
